cell_line	gene	threshold_cycle	Ct_mean	Ct_SD
H28	ATP5G1	27.176	26.626	0.776
H28	ATP5G1	26.077	26.626	0.775
H28-BR0.1	ATP5G1	26.973	26.680	0.576
H28-BR0.1	ATP5G1	27.049	26.680	0.576
H28-BR0.1	ATP5G1	26.017	26.680	0.576
H28-BR0.3	ATP5G1	26.179	25.999	0.424
H28-BR0.3	ATP5G1	25.515	25.999	0.424
H28-BR0.3	ATP5G1	26.303	25.999	0.424
MeT5A	ATP5G1	27.673	27.139	0.559
MeT5A	ATP5G1	27.186	27.139	0.559
MeT5A	ATP5G1	26.558	27.139	0.559
MeT5A-BR0.1	ATP5G1	28.012	28.216	0.309
MeT5A-BR0.1	ATP5G1	28.065	28.216	0.309
MeT5A-BR0.1	ATP5G1	28.572	28.216	0.309
MeT5A-BR0.3	ATP5G1	28.602	28.636	0.053
MeT5A-BR0.3	ATP5G1	28.697	28.636	0.053
MeT5A-BR0.3	ATP5G1	28.608	28.636	0.053
REN	ATP5G1	27.516	27.202	0.505
REN	ATP5G1	26.619	27.202	0.505
REN	ATP5G1	27.471	27.202	0.505
REN-BR0.1	ATP5G1	26.451	26.981	0.670
REN-BR0.1	ATP5G1	27.735	26.981	0.670
REN-BR0.1	ATP5G1	26.758	26.981	0.670
REN-BR0.3	ATP5G1	27.542	27.418	0.178
REN-BR0.3	ATP5G1	27.499	27.418	0.178
REN-BR0.3	ATP5G1	27.214	27.418	0.178
VMC23	ATP5G1	27.733	27.379	0.507
VMC23	ATP5G1	26.797	27.379	0.507
VMC23	ATP5G1	27.606	27.379	0.507
VMC23-BR0.3	ATP5G1	28.695	28.150	0.472
VMC23-BR0.3	ATP5G1	27.854	28.150	0.472
VMC23-BR0.3	ATP5G1	27.903	28.150	0.472
H28	ATP5G1V2	26.967	26.828	0.127
H28	ATP5G1V2	26.797	26.828	0.127
H28	ATP5G1V2	26.719	26.828	0.127
H28-BR0.1	ATP5G1V2	25.953	26.149	0.188
H28-BR0.1	ATP5G1V2	26.165	26.149	0.188
H28-BR0.1	ATP5G1V2	26.327	26.149	0.188
H28-BR0.3	ATP5G1V2	28.359	28.491	0.114
H28-BR0.3	ATP5G1V2	28.560	28.491	0.114
H28-BR0.3	ATP5G1V2	28.554	28.491	0.114
MeT5A	ATP5G1V2	24.603	24.879	0.239
MeT5A	ATP5G1V2	25.029	24.879	0.239
MeT5A	ATP5G1V2	25.003	24.879	0.239
MeT5A-BR0.1	ATP5G1V2	29.289	29.319	0.027
MeT5A-BR0.1	ATP5G1V2	29.329	29.319	0.027
